Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Alesis DM5,ki,0.242358277,113.4298019,3.601569176,6.111554049,0.123741172,853.0125122,10.91870308,0.870842576
Alesis DM5,ki,0.672653061,72.00250244,8.835677147,-1.267741936,0.322575361,1317.145142,6.571181297,0.278692156
Alesis DM5,ki,0.28154195,181.6130219,8.093432426,8.511743482,0.146699592,180.5410461,43.63969803,0.987936795
Alesis DM5,ki,0.377324263,89.51133728,3.049164772,2.653923575,0.188860446,963.447998,5.66087532,0.850506067
Alesis DM5,ki,0.148752834,66.15940857,3.598184824,4.736920588,0.07740435,1060.939697,16.42583466,0.747701347
Alesis DM5,ki,0.370793651,44.3138504,4.687413692,-1.827543274,0.182694227,672.6574707,33.64626312,0.882520318
Alesis DM5,ki,0.480362812,103.4628754,4.215674877,2.544280835,0.233994782,762.5882568,6.423878193,0.840971053
Alesis DM5,ki,0.752471655,79.02362061,7.402829647,-1.151608134,0.354408979,704.4551392,17.16474915,0.668997765
Alesis DM5,ki,0.392562358,152.925293,2.955379725,5.953645311,0.200587466,341.9923706,18.26660728,0.901610076
Alesis DM5,ki,0.474557823,71.15675354,3.542112589,0.170689262,0.230794489,525.2362061,27.49287033,0.92914331
Alesis DM5,ki,0.278639456,102.532402,6.880030632,4.850989594,0.144640923,1210.978027,4.419689655,0.925033629
Alesis DM5,ki,0.369342404,55.44787216,4.029960632,-0.357595917,0.182534218,927.6635742,35.03152084,0.885933995
Alesis DM5,sn,0.476734694,16.22023201,6.02055645,-9.433651509,0.229180217,2463.592773,3.78334856,0.21729897
Alesis DM5,sn,0.237278912,27.48335457,8.860081673,-2.985375067,0.12001384,1656.327881,6.493775368,0.571922898
Alesis DM5,sn,0.491247166,58.32879257,25.28886986,-1.267974696,0.243558869,3106.078125,2.246307135,0.162898183
Alesis DM5,sn,0.28154195,38.75551605,10.24644184,-1.500397306,0.141083732,713.343689,1.818716407,0.898180544
Alesis DM5,sn,0.61968254,28.73810768,7.535917282,-6.865096279,0.29261896,715.6881104,2.420975924,0.618869781
